Seuil,TP,FP,FN,% TP,% FP,% FN,Precision,Recall,F1-Score
0.01,92,123,43,35.7%,47.7%,16.7%,0.4279,0.6815,0.5257
0.02,92,123,43,35.7%,47.7%,16.7%,0.4279,0.6815,0.5257
0.03,92,123,43,35.7%,47.7%,16.7%,0.4279,0.6815,0.5257
0.04,92,123,43,35.7%,47.7%,16.7%,0.4279,0.6815,0.5257
0.05,92,123,43,35.7%,47.7%,16.7%,0.4279,0.6815,0.5257
0.06,92,123,43,35.7%,47.7%,16.7%,0.4279,0.6815,0.5257
0.07,92,123,43,35.7%,47.7%,16.7%,0.4279,0.6815,0.5257
0.08,92,123,43,35.7%,47.7%,16.7%,0.4279,0.6815,0.5257
0.09,92,123,43,35.7%,47.7%,16.7%,0.4279,0.6815,0.5257
0.10,92,123,43,35.7%,47.7%,16.7%,0.4279,0.6815,0.5257
0.11,92,119,43,36.2%,46.9%,16.9%,0.436,0.6815,0.5318
0.12,91,114,44,36.5%,45.8%,17.7%,0.4439,0.6741,0.5353
0.13,89,110,46,36.3%,44.9%,18.8%,0.4472,0.6593,0.5329
0.14,89,108,46,36.6%,44.4%,18.9%,0.4518,0.6593,0.5361
0.15,89,107,46,36.8%,44.2%,19.0%,0.4541,0.6593,0.5378
0.16,89,98,46,38.2%,42.1%,19.7%,0.4759,0.6593,0.5528
0.17,89,94,46,38.9%,41.0%,20.1%,0.4863,0.6593,0.5597
0.18,89,90,46,39.6%,40.0%,20.4%,0.4972,0.6593,0.5669
0.19,87,87,48,39.2%,39.2%,21.6%,0.5,0.6444,0.5631
0.20,87,86,48,39.4%,38.9%,21.7%,0.5029,0.6444,0.5649
0.21,87,84,48,39.7%,38.4%,21.9%,0.5088,0.6444,0.5686
0.22,87,81,48,40.3%,37.5%,22.2%,0.5179,0.6444,0.5743
0.23,85,79,50,39.7%,36.9%,23.4%,0.5183,0.6296,0.5686
0.24,84,74,51,40.2%,35.4%,24.4%,0.5316,0.6222,0.5734
0.25,84,72,51,40.6%,34.8%,24.6%,0.5385,0.6222,0.5773
0.26,82,69,53,40.2%,33.8%,26.0%,0.543,0.6074,0.5734
0.27,82,68,53,40.4%,33.5%,26.1%,0.5467,0.6074,0.5754
0.28,82,65,53,41.0%,32.5%,26.5%,0.5578,0.6074,0.5816
0.29,82,64,53,41.2%,32.2%,26.6%,0.5616,0.6074,0.5836
0.30,81,62,54,41.1%,31.5%,27.4%,0.5664,0.6,0.5827
0.31,81,62,54,41.1%,31.5%,27.4%,0.5664,0.6,0.5827
0.32,81,59,54,41.8%,30.4%,27.8%,0.5786,0.6,0.5891
0.33,80,56,55,41.9%,29.3%,28.8%,0.5882,0.5926,0.5904
0.34,79,54,56,41.8%,28.6%,29.6%,0.594,0.5852,0.5896
0.35,79,54,56,41.8%,28.6%,29.6%,0.594,0.5852,0.5896
0.36,78,52,57,41.7%,27.8%,30.5%,0.6,0.5778,0.5887
0.37,78,52,57,41.7%,27.8%,30.5%,0.6,0.5778,0.5887
0.38,78,52,57,41.7%,27.8%,30.5%,0.6,0.5778,0.5887
0.39,76,51,59,40.9%,27.4%,31.7%,0.5984,0.563,0.5802
0.40,75,48,60,41.0%,26.2%,32.8%,0.6098,0.5556,0.5814
0.41,75,48,60,41.0%,26.2%,32.8%,0.6098,0.5556,0.5814
0.42,73,48,62,39.9%,26.2%,33.9%,0.6033,0.5407,0.5703
0.43,71,46,64,39.2%,25.4%,35.4%,0.6068,0.5259,0.5635
0.44,70,44,65,39.1%,24.6%,36.3%,0.614,0.5185,0.5622
0.45,70,43,65,39.3%,24.2%,36.5%,0.6195,0.5185,0.5645
0.46,70,41,65,39.8%,23.3%,36.9%,0.6306,0.5185,0.5691
0.47,68,40,67,38.9%,22.9%,38.3%,0.6296,0.5037,0.5597
0.48,68,38,67,39.3%,22.0%,38.7%,0.6415,0.5037,0.5643
0.49,67,38,68,38.7%,22.0%,39.3%,0.6381,0.4963,0.5583
0.50,66,37,69,38.4%,21.5%,40.1%,0.6408,0.4889,0.5546
